country,city,latitude,longitude
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Changsha City,28.227590000000003,113.1532
China,Yongzhou City,25.779320000000002,111.7296
China,Yongzhou City,25.779320000000002,111.7296
China,Yongzhou City,25.779320000000002,111.7296
China,"Manzhouli City, Hulunbuir City",49.53241,117.4943
China,Suzhou City,31.378020000000003,120.6418
China,Nanjing City,31.92997,118.8424
China,Nanjing City,31.92997,118.8424
China,Lianyungang City,34.534,119.1325
China,Yangzhou City,32.73976,119.4729
China,Wuxi City,31.52812,120.0767
China,Nantong City,32.1975,121.0053
China,Nanjing City,31.92997,118.8424
China,Suzhou City,31.378020000000003,120.6418
China,"Dongxiang County, Fuzhou City",28.218759999999996,116.6081
China,"Xiangdong District, Pingxiang City",27.506990000000002,113.7218
China,Nanchang City,28.66149,116.0257
China,Nanchang City,28.66149,116.0257
China,Jiujiang City,29.3255,115.4418
China,Xinyu City,27.84546,114.8515
China,Ji'an City,26.97535,114.8248
China,Fuzhou City,27.51128,116.4344
China,Fuzhou City,27.51128,116.4344
China,Fuzhou City,27.51128,116.4344
China,Ganzhou City,25.71368,115.2745
China,Ganzhou City,25.71368,115.2745
China,Shangrao City,28.77693,117.4692
China,Shangrao City,28.77693,117.4692
China,Nanchang City,28.66149,116.0257
China,Yichun City,28.30755,114.9732
China,Jiujiang City,29.3255,115.4418
China,Jingdezhen City,29.309990000000003,117.2708
China,Changchun City,44.38803,125.76899999999999
China,Songyuan City,44.80382,124.4795
China,Jilin City,43.58859,126.8481
China,Dalian City,39.59944,122.2224
China,Shenyang City,42.100120000000004,123.1391
China,Shenyang City,42.100120000000004,123.1391
China,Chaoyang City,41.51421,120.0166
China,Border Checkpoint,22.166667,113.55
China,Landmark Hotel,22.166667,113.55
China,Yinchuan City,38.2349,106.3496
China,Zhongwei City,37.0548,105.4777
China,Xi'an City,34.10727,108.7872
China,Xi'an City,34.10727,108.7872
China,Xianyang City,34.78867,108.3897
China,Yan'an City,36.44222,109.3161
China,Ankang City,32.761829999999996,108.9258
China,Weihai City,37.12174,121.9821
China,Linyi City,35.31235,118.2809
China,Linyi City,35.31235,118.2809
China,Qingdao City,36.454840000000004,120.1436
China,Qingdao City,36.454840000000004,120.1436
China,Qingdao City,36.454840000000004,120.1436
China,Weifang City,36.55315,119.0713
China,Rizhao City,35.58324,119.1358
China,Weihai City,37.12174,121.9821
China,Jinan City,36.734140000000004,117.0851
China,Jinan City,36.734140000000004,117.0851
China,Yantai City,37.24217,120.8051
China,Yantai City,37.24217,120.8051
China,Jining City,35.37464,116.7332
China,Qingdao City,36.454840000000004,120.1436
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,,31.2045,121.4555
China,Taiyuan City,37.96001,112.3157
China,Chengdu City,30.70291,103.8256
China,Chengdu City,30.70291,103.8256
China,Chengdu City,30.70291,103.8256
China,Chengdu City,30.70291,103.8256
China,Dazhou City,31.370140000000003,107.6465
China,Guang'an City,30.42717,106.6635
China,Mianyang City,31.8534,104.7008
China,Mianyang City,31.8534,104.7008
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Tianjin City,39.297129999999996,117.3333
China,Urumqi City,43.73043,87.78531
China,Urumqi City,43.73043,87.78531
China,Kunming City,25.39236,102.8739
China,Kunming City,25.39236,102.8739
China,Xishuangbanna Prefecture,21.93139,100.9477
China,Lijiang City,26.94233,100.5235
China,Kunming City,25.39236,102.8739
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Jinhua City,29.117459999999998,119.9524
China,Quzhou City,28.9356,118.67399999999999
China,Ningbo City,29.711470000000002,121.4792
China,Ningbo City,29.711470000000002,121.4792
China,Ningbo City,29.711470000000002,121.4792
China,Ningbo City,29.711470000000002,121.4792
China,Ningbo City,29.711470000000002,121.4792
China,Shaoxing City,29.7353,120.63600000000001
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Wenzhou City,27.905379999999997,120.4404
China,Wenzhou City,27.905379999999997,120.4404
China,Wenzhou City,27.905379999999997,120.4404
China,Wenzhou City,27.905379999999997,120.4404
China,Wenzhou City,27.905379999999997,120.4404
China,Wenzhou City,27.905379999999997,120.4404
China,Zhoushan City,30.09654,122.1883
China,Jiaxing City,30.63995,120.7547
China,Shaoxing City,29.7353,120.63600000000001
China,Jiaxing City,30.63995,120.7547
China,Jiaxing City,30.63995,120.7547
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Guangzhou City,23.349829999999997,113.5364
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Shenzhen City,22.65389,114.1291
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Taizhou City,28.775,121.1116
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Hangzhou City,29.901659999999996,119.4715
China,Wanzhou District,30.706120000000002,108.4023
